测试工程师,面议,广州神爸信息科技有限公司,广州 - 越秀区,...Python/PHP/Ruby/Java等  4. 扎实的编程/脚本开发技能  5. 熟悉Android/iOS自动化测试工具的使用  6. 具有搭建持续集成自动化测试平台、组建自动化测试框架和研发测试工具经验者优先  7. 具有互联网软件开发、性能测试、白盒测试、单元测试工作经...
资讯技术工程师（DBA MySQL）,6001-8000,赫基(中国)服饰有限公司,广州,...python等技术； 3. 对iPOS或其他ERP系统有一定的了解。 4. 沟通协调、解决问题、学习能力良好，逻辑条理、分析判断及个人诚信优秀，高度责任心； 5. 5年以上数据库管理经验（高级为8年以上，助理级为4年以下）。
渗透测试工程师,15001-20000,北京锦龙信安科技有限公司,广州,...Python、Asp、c#、java等任意一门语言，熟悉MSSQL、MySQL、Oracle等常用数据库，需要的时候可以自己写程序解决问题； 5. 有良好的工作心态，愿意协助同事完成非职责所在的工作； 6. 有创新精神，有学习心态，能够不断强化自己； 7. 有较强的语言表达和演讲...
服务器工程师-天河,4001-6000,广州市金禧信息技术服务有限公司,广州 - 天河区,...python知识；  5.有一定的网络基础，能进行简单的网络维护和故障排除；  6.较强的学习能力、沟通协作能力及合作意识；  7.有CCNA\RHCE等证书优先考虑；        上班地点：广州市天河区高唐路333号高唐软件园，南方基地  公车：高唐路站
架构设计师,15001-20000,广州精点计算机科技有限公司,广州,...python/ruby等其中至少一种编程语言；  2、深刻理解操作系统原理，熟悉Linux/Unix基本操作命令，掌握常用的算法与数据结构；  3、熟悉J2EE体系架构，熟悉Java开源框架如SpringMVC、Mybatis等；  4、熟悉关系数据库调优，具备相关NoSQL开发...
运维工程师,面议,广州易方信息科技有限公司,广州,...python/php/java 至少会一种以上；     7. 具备较强的沟通能力、执行能力，具备高度责任感及团队精神，能承担一定的工作压力。
初级信息研发工程师,面议,广州精科生物技术有限公司,广州 - 萝岗区,...python/C++/java/php/mysql等至少一门语言；  3、  英语CET-6级及以上；  4、  有开发工作经验者优先。
初级信息生产工程师,面议,广州精科生物技术有限公司,广州 - 黄埔区,...python等至少一门编程语言；  3、  熟悉excel，word等软件；  4、  有良好的沟通能力，工作有耐心，责任心较强；  5、  有相关工作经验者优先。
hadoop软件工程师,面议,北京众成联信信息技术有限公司,广州,...python脚本使用经验者优先考虑； 9、热衷于产品研发和技术发展、具有强烈的责任意识和开放的心态；
Web 开发工程师,6001-8000,广州韦雅度企业管理咨询有限公司,广州,岗位职责：  1）开发和维护公司的业务系统；  2）为移动应用提供数据接口；  3）定位、修复程序缺陷，优化并提升程序的执行效率。  任职要求：  1）熟练掌握Python开发，了解Django、Tornado或Flask等任意一种Web框架；  2）熟悉 HTML/Javaｓｃｒｉ...
数据库管理员（DBA）,10001-15000,广州视源电子科技股份有限公司 ,广州,...Python等；  6. 具有团队合作精神，思维清晰，细致耐心，责任心强，能独立完成工作，承受较大工作压力；有乙方技术支持经验者优先考虑。
测试开发工程师,10001-15000,广州视源电子科技股份有限公司 ,广州,岗位职责：  1、通过对技术、代码及产品的全面理解，发现产品的弱点，定位缺陷并推动修复，确保高品质的产品体验；  2、与团队成员一起设计、开发和维护自动化系统，提高产品开发和测试的效率。  任职要求：  1、本科及以上学历，计算机及相关专业优先；  2、一至两年的C/C++/JAVA/Pyt...
高级算法工程师,面议,广州视源电子科技股份有限公司 ,广州,...Python/C++； 4.极强的英语阅读能力与写作能力； 5.有丰富的信号处理 / 语音识别 / 图像识别 / 医学图像处理 / 机器学习 / 自然语言处理等算法设计经验（包括项目与比赛）者优先考虑； 6.研究成果有实时应用演示者优先考虑。
数据开发工程师/Java服务器开发工程师,10001-15000,成都悦心品牌推广有限公司广州办事处,广州,数据开发工程师  岗位职责：  1、负责采集、整理、分析与业务相关的数据；  2、将分析的数据进行可视化工作；  3、维护业务数据系统；  基本要求：  1、本科及以上学历；两年以上数据开发岗位经验；  2、熟悉Linux常用命令以及Linux常见运维技巧；  3、熟悉Shell、Pytho...
生物信息工程师,面议,广州复能基因有限公司,广州 - 萝岗区,...Python、R或者PHP编程经验优先；  4. 了解常用生物信息学工具(BLAST，ClustalW 等)和公共基因信息数据库资源(Genbank等)，有生物学数据处理经验者优先；
数据挖掘主管,8001-10000,广州威尔森咨询有限公司,广州,"...Python ,Java ,C/C++等；  4. 熟悉至少一种主流关系型数据库，如MySQL， SQL Server， Oracle等，熟悉Oracle者优先；  5. 掌握 数据分析建模能力，文本挖掘的主要模型，经典机器学习算法。"
Python、Golong、Swift开发工程师/python开发工程师,面议,佛山金生态数据技术股份有限公司,广州,岗位职责：  1.  专业于Web 应用平台的开发  职能要求：  1.  本科学历，1年以上Web开发或移动应该开发工作经验。      任职要求：  1. 计算机相关专业者优先，良好的英文读写能力；  2. 熟悉Python语言编程及常用模块，熟悉 python 中...
测试工程师QA,面议,雷克软件系统(深圳)有限公司,广州 - 天河区,"...Python；  7. 熟悉行为驱动开发和敏捷开发；  8. 有自动测试工具实践经验优先考虑，不仅限于Cucumber (Java/Ruby), Capybara, Selenium；  9. 有性能负载测试工具实践操作经验优先考虑，不仅限于Grinder, JMeter, Ap..."
系统架构师,面议,佛山金生态数据技术股份有限公司,广州,...PYTHON）等基础编程，有良好的系统规划设计能力；  4、精通LINUX，熟悉常用应用服务器如RESIN、WebLogic、JBoss的安装、部署，熟悉常用数据库系统如Oracle、DB2、Sybase、MYSQL等；  5、精通软件开发流程、设计模式、体系结构。
助理资讯技术工程师（系统运维）,面议,广州尚岑服饰有限公司（欧时力）,广州,...python任意一种语言，能熟练编写自动化脚本； 3.熟悉nginx/resin/websphere等主流应用软件 4.熟悉zabbix/cacti/Nagios/asinble等监控和自动化运维工具。
嵌入式软件工程师,面议,云浮市物联网研究院有限公司,广州 - 天河区,...python、javascript、ruby等；  *有嵌入式web服务开发经验更佳；
Android开发工程师,面议,云浮市物联网研究院有限公司,广州 - 天河区,...python开发经验者优先；  3. 具有良好的数据结构和算法基础，熟悉常见的设计模式；  4. 良好的学习能力、沟通能力，追求完美，有工作激情；  5. 二年以上移动客户端开发经验，特别优秀者除外。  此职位可自由选择工作地点（广州或云浮市新兴县）  公司总部地址：广东省云浮市...
前端开发工程师,6001-8000,广州捷径信息科技有限公司,广州,...Python 等)优先考虑。
平台测试工程师（开发向）,10001-15000,广州银汉科技有限公司,广州,...Python等，Java+Python优先；  5、熟悉自动化测试框架，如Selenium、QTP、RFT，Selenium优先；  6、了解开发规范及进度控制，有实际项目管理经验者优先  7、良好的自我驱动，优秀的计划、沟通和协调能力，良好的团队合作精神。
反外挂工程师,15001-20000,广州银汉科技有限公司,广州,岗位职责：  1、参与游戏的战斗玩法设计；  2、负责分析游戏逻辑性；  3.负责分析外挂，并处理；  4.提供更好的处理外挂的方案；  5.负责反外挂模块的开发。  任职要求：  1、大专以上学历；  2、三年以上游戏相关行业经验技术开发经验；  3、熟悉C++或python或lu...
服务端主程,面议,广州银汉科技有限公司,广州 - 天河区,【工作职责】  1、负责对已有服务器引擎进行优化；  2、服务器性能评估与优化；  3、对功能开发程序员提供技术指导，并对质量结果负责  4、工作中使用python为主，很少量C++，可以接受其他编程语言开发者     【任职要求】  1、有三年以上游戏开发经验；  2、熟练使用C+...
性能测试工程师,15001-20000,广州银汉科技有限公司,广州,...Python、Perl、Ruby等；  7、具有两年以上Java、C++、C#等语言开发经验的优先。
测试总监,面议,广州银汉科技有限公司,广州 - 天河区,...Python，Java等）；  6、熟悉Coco3dx或unity3d引擎为准；  7、在行业界内有带领成功团队的业绩表现为准。
运维开发工程师,面议,广州银汉科技有限公司,广州 - 天河区,岗位职责： 1、运维相关的各项平台需求分析及实施方案设计； 2、基于Python的自动化工具及运维平台开发； 3、开发文档的撰写整理归档； 4、深入分析运维业务流程，通过开发和推行自动化运维工具及平台来提高运维效率及降低出错率。  任职要求： 1、熟练使用linux，熟悉常见的web...
客户端测试工程师,10001-15000,广州银汉科技有限公司,广州,...Python、Lua等；  5、熟练使用至少一种自动化测试框架或工具，如Robotium，Monkey，Appium等；  6、了解开发规范及进度控制，有实际项目管理经验者优先；  7、良好的自我驱动，优秀的计划、沟通和协调能力，良好的团队合作精神。
C++开发工程师,8001-10000,广州银汉科技有限公司,广州,...python等开发语言经验优先； 3、喜欢编程，追求代码质量，热爱游戏； 4、独立完成工作，能承受工作压力； 5、良好的沟通、学习能力。
软件测试工程师,6001-8000,广州视源电子科技股份有限公司 ,广州,...Python、Ruby、JavaScript等至少一种编程语言；  5. 有以下方面丰富经验优先：     a. 自动化测试工具和技术；     b. 性能测试等专项测试；     c. Windows GUI程序设计开发；     d. Mysql、MongoDB等数据库开发、...
数据挖掘工程师,面议,广州复能基因有限公司,广州 - 萝岗区,...Python编程，熟练使用R等挖掘分析软件；
系统运维工程师,面议,深圳君南信息系统有限公司,广州 - 天河区,工作经验及技能：  1、大专以上学历，1年以上系统运维工作经验，优秀应届生亦可； 2、熟练使用unix/linux操作系统，能够独立安装、配置、优化、维护及故障处理 3、熟练使用Shell、Perl、Python等脚本编程语言的一种，熟练使用 shell/bash，应用shell解决...
Java软件开发工程师,15001-20000,广州金砖信息技术有限公司,广州,...Python更佳。  3. 熟悉Redis、MongoDB、Memcache等，有消息队列或内存缓存应用经验。4. 熟悉Ajax、OpenAPI、REST等技术框架。  5. 有技术难题攻关经验，善于主动推动项目进展并达成项目目标。  6. 优秀的沟通能力、逻辑归纳能力和团队合作...
数据库管理员,面议,广州交通信息化建设投资营运有限公司,广州 - 天河区,...Python/Ruby等）开发能力。 8.熟悉PostgreSQL数据库的运行机制，PostgreSQL复制及Cluster经验丰富者优先考虑。 9.了解Hadoop/Hbase/Storm等相关NOSQL技术，有实践经验者优先考虑。   职责： 1.结合应用系统需求，制定相宜的...
运维工程师,10001-15000,广州视源电子科技股份有限公司 ,广州,...python脚本编程。
软件测试工程师,6001-8000,广州市正易信息科技有限公司,广州 - 海珠区,...Python、Ruby）者优先。  福利待遇：  1、签订劳动合同，广州市五险一金；  2、五天八小时工作制；  3、享有国法定节假日、婚假、生育假、病假及带薪年假等；  4、员工生日、结婚、生育等都有礼金或礼品发放；  5、参加公司举办各种员工活动：旅游、拓展、羽毛球、篮球、生...
python开发工程师（广州）,面议,北京并行科技股份有限公司,广州,"...Python语言，较强的独立开发能力，具备良好的代码风格，至少1年以上Python开发经验，熟悉Django。  3、有前端开发经验（HTML/CSS/JS）,熟悉Jquery等框架的使用。  4、能够熟练使用标准的SQL语言，精通MySQL。  能够承担较大工作压..."
技术实习生,2001-4000,广州购么网络科技有限公司,广州,...python等一种或多种面向对象语言。  3、         熟悉标准SQL和数据库设计，具备初级的数据库设计。  4、         熟悉LINUX操作系统及其常用LINUX操作命令。  5、         具备良好的团队意识，责任心，探索精神。  6、         ...
java后台工程师,面议,广州比特软件科技有限公司,广州,...python等系统脚本工具。         福利待遇 ： 1、底薪+绩效+项目提成+奖金；  2、满一年后享受带薪年假、婚假、丧假，双休，根据国家规定统一放假，5天7小时工作制；  3、转正后统一购买五险一金。       联系方式      公司名称：广州比特软件科技有限公司...
服务器开发,面议,广州柏颐信息科技有限公司,广州 - 萝岗区,...python或JAVA语言，java要求能自行熟练搭建项目框架。有OA系统开发经验者优先。 4、精通linux操作系统，能够在linux系统中分析优化性能，有大型分布式系统开发经验者优先。 5、有cms后台开发经验，熟悉 Apache、nginx、tomcat等 Web 服务器的...
系统工程师,面议,北京中力时代科技有限公司,广州,...python，lua脚本编写经验优先 9.具有较强学习和独立研究的能力，高度责任心，友善耐心的服务态度，有良好的团队合作精神，良好的分析能力与沟通技巧，并能承担高压力的工作。 10.具有微软MCSE相关证书者优先 11.具有一定的文档编写能力； 12.有数据中心运行维护工作经验者...
研发经理,15001-20000,广州市威格雷斯软件技术有限公司,广州,...Python、perl、shell等了解并运用各种语言组合，二年以上架构师或相关岗位的经验，独立承担过大中型系统架构和设计者优先； 2、具有较高的抽象与分析能力、归纳能力，逻辑分析能力、学习能力和创新能力强，具有团队合作精神，良好的语言表达及沟通能力； 3、深刻理解并熟练运用软件...
软件开发工程师,面议,广州市威格雷斯软件技术有限公司,广州 - 海珠区,应用软件工程师  岗位要求：  1、正规院校毕业，电子、通信和计算机等相关专业，本科以上学历。  2、精通C/C++程序设计，面向对象化编程思想和设计模式，熟悉Linux系统。  3、熟悉Python或Java优先。  4、具有良好的英语阅读能力。  5、学习能力强，了解开源环境优先...
系统架构师,面议,广州优亿信息科技有限公司,广州,...Python编程语言，了解主流开发框架使用及原理  -两年以上大型Web网站架构经验  -熟悉Linux & android系统、熟悉网络编程、多线程编程技术  -熟悉mysql、oracle数据库，有千万量级及以上数据量的数据库设计能力； -对数据结构和算法设计具有深刻...
系统工程师,10001-15000,广州简悦信息科技有限公司,广州 - 天河区,【任职要求】  1、扎实的计算机系统、算法、数据结构基础；  2、熟练掌握下列语言之一:  Python/Erlang/C/C++；  3、熟悉Linux下的系统开发及相关工具链，熟悉常见并发处理模型 ；  4、熟悉网络协议，特别是HTTP协议，对页面前端技术有一定了解；  5、熟悉...
服务端开发工程师,10001-15000,广州简悦信息科技有限公司,广州 - 天河区,...Python、Ruby、Lua、Erlang等其中一种脚本语言； 4、精通Mysql或Sqlserver等常用数据库，能独立设计完数据库并针对引用场景进行性能优化，熟练使用Windows或Linux环境； 5、熟悉TCP/IP网络编程； 6、熟悉Socket编程、多线程编程，熟悉...
C++手游开发工程师（服务端）,10001-15000,广州市游毅坊网络科技有限公司,广州,岗位职责:     1.负责手游服务器逻辑功能开发；  2.负责策划玩法系统的需求功能的服务端实现和开发。     任职要求：     1.具备两年左右的游戏开发服务端经验；  2.扎实的C/C++语言基础和算法分析能力；  3.至少熟悉lua或python等一门脚本语言；  4.熟...
数据仓库/ETL工程师,8001-10000,广州力挚网络科技有限公司,广州,...python编程能力优先；
Python研发工程师,8001-10000,广州西麦科技股份有限公司,广州,岗位职责：  1，负责云计算后台开发工作； 2，根据项目功能需求，分析并给出技术实现方案； 3，编写项目开发相关文档。     任职要求：  1，熟悉python编程，有丰富的项目开发经验。 2，了解openstack架构及开发流程者优先。 3，有较强的学习能力。
阿里移动-全栈开发工程师,面议,阿里巴巴集团,广州,...Python、Ruby，了解服务端编程 6. 具备良好的学习能力和问题分析能力，关注社区动态及技术发展趋势，参与开源项目维护者优先 7. 有良好的产品意识，关注移动互联网
阿里移动-高级系统研发工程师,面议,阿里巴巴集团,广州,－根据业务需求，进行系统的开发及运行维护工作；  －参与技术团队的管理工作； －计算机或相关专业本科以上学历；  －5年以上Java/Python/C++开发经验，精通性能调优，熟悉分布式开发；  －具备扎实的数据结构及算法功底，具备大型系统架构经验，具备互联网数据项目经验优先；  ...
生物信息研发助理,面议,东莞博奥木华基因科技有限公司,广州 - 海珠区,...Python等脚本语言，基础数理统计知识，会使用R或Matlab等数据分析软件；  3、	了解常用生物信息分析软件及数据库；   4、	有较强的学习能力，工作积极、细心，责任心强，有良好的表达能力，具有团队协作精神。  5、	有NGS数据分析相关工作经验者优先。
生物信息研发经理（宏基因组方向）,面议,东莞博奥木华基因科技有限公司,广州 - 海珠区,...Python、C、C++c、c++中的一门或多门语言；  4、	具有数理统计基础，精通R或Metalab等输数据分析软件；  5、	了解本行业领域的产品设计方法，能理解产品整体设计思想，独立完成相关产品设计任务；  6、	有较强的学习能力，良好的表达能力和团队沟通能力，能承受工作...
阿里移动-高级系统运维工程师-内核优化-负载均衡方向,面议,阿里巴巴集团,广州,...Python/shell等1至2种语言，并有相关开发经验； 7.对CPU、内存、IO、网络等四大子系统内核参数以及程序性能优化有一定经验； 8.对行业技术敏感度高且细致，善于思考，对解决具有挑战性问题充满激情； 9.以上均为岗位胜任的必要条件，欢迎符合条件者前来投递简历
阿里移动-高级测试工程师（浏览器业务）,面议,阿里巴巴集团,广州,...Python/C/C++等），有一定的研发能力，能够熟练的阅读和撰写代码，熟悉http等网络协议、熟悉WEB知识（如html/js/css/等），够阅读javascript代码，熟悉linux系统。
阿里移动-G1-资深数据挖掘算法工程师,面议,阿里巴巴集团,广州,...python/R；   4、深入理解Map-Reduce模型，对Hadoop、Spark、Storm等大规模数据存储与运算平台有实践经验；  5、对于推荐系统和广告系统有实践经验者优先； 6、能够积极创新， 乐于面对挑战， 负责敬业； 7、优秀的团队合作精神；诚实， 勤奋， 严谨...
阿里移动-高级数据分析师,面议,阿里巴巴集团,广州,...python/ruby； 6.良好的逻辑思维和批判性思维能力； 7.有互联网数据分析背景者优先
应用运维工程师,面议,广州酷旅旅行社有限公司,广州,...python。
爬虫工程师,10001-15000,广州酷旅旅行社有限公司,广州,...Python或C#，精通OOP、UML、设计模式能熟练使用Rose建模工具完成软件设计；  5. 具备信息检索、自然语言处理、web挖掘等搜索引擎相关知识，有从事网络爬虫、网页去重、网页信息抽取、任一种程序开发经验  6. 具有大数据挖掘、自然语言处理、信息检索、机器学习背景的优...
高级DBA工程师（MySql）,面议,广州酷旅旅行社有限公司,广州 - 天河区,...Python，PHP，Ruby中的一种进行快速开发；  8. 对MySQL技术有强烈兴趣，熟悉MySQL各个分支版本，关注新的技术动态。
电商爬虫架构师/开发组长,面议,广州酷旅旅行社有限公司,广州,...Python或C#，精通OOP、UML、设计模式能熟练使用Rose建模工具完成软件设计； 5. 具备信息检索、自然语言处理、web挖掘等搜索引擎相关知识，有从事网络爬虫、网页去重、网页信息抽取、任一种程序开发经验 6. 具有大数据挖掘、自然语言处理、信息检索、机器学习背景的优先；...
运维开发工程师,面议,广州酷旅旅行社有限公司,广州,...python、shell，掌握至少一种python web开发框架，具备实际的项目开发经验；  4、掌握基本的HTML、CSS、JavaScript、Ajax等Web技术，熟悉使用bootstrap；  5、熟悉zabbix等常见监控系统的监控原理和使用。  具备以...
JAVA游戏服务器开发,3000-15000,广州盈正信息技术有限公司,广州 - 天河区,...Python等脚本语言者优先。
HTML5,面议,易保互联医疗信息科技(北京)有限公司,广州,...Python）开发经验者优先。
数据分析师（中高级）,面议,北京洋浦伟业科技发展有限公司,广州 - 天河区,...python至少一种语言编程。
web开发工程师,6001-8000,广州西麦科技股份有限公司,广州,岗位职责：  1，负责web前端开发和页面优化； 2，根据项目需求，分析并给出前端技术实现方案。     任职要求：  1，熟悉html/DIV+CSS/Javascript。 2，精通C/C++、java、php、python中任一种编程语言。 3，熟悉openstack前端开发者...
生物信息分析（生物信息学方向）,面议,广州美格生物科技有限公司,广州 - 番禺区,...Python、C、Java等至少一种编程语言，熟悉生物信息学各类常用算法，熟练使用常用生物信息学工具；  3. 能够进行英文检索并阅读学术文献；  4. 有基因组或转录组高通量测序分析、基因芯片分析或生物数据库者优先。  5. 熟悉使用常用的统计学软件（R、matlab、spss...
数据挖掘工程师(初/中/高),面议,深圳天源迪科信息技术股份有限公司,广州,"...Python编程技巧和娴熟的传统语言编程（JAVA, C++等）； 5、有多个实际数据挖掘实施项目经验，有海量数据处理和挖掘经验者优先； 6、本科及以上学历，统计学，数学、计算机等相关专业。  其他： 1.通过海量数据挖掘、机器学习等方法进行核心策略的研究及开发； 2.用户分析、..."
游戏服务器后台开发工程师,面议,广州大娱信息科技有限公司,广州,岗位职责：  负责游戏后台及社区开发。     任职要求：  1.计算机基础扎实，熟练掌握C++知识，并具备较强的实际开发能力；  2.熟练基础算法和数据结构；  3.掌握Python或PHP等语言开发；  4.了解Linux操作系统；  5.熟悉MySQL、Mongo等数据库，具备...
大数据平台工程师(初/中/高),8001-10000,深圳天源迪科信息技术股份有限公司,广州,...Python、Shell、Perl中的一种； 5. 掌握或了解非结构化数据的保存、分析、访问、调优，掌握或使用过至少一种Nosql的开源产品，并真正用于项目中，如mongoDB、 Redis、Cassandra等； 6.本科及以上学历，统计学，数学、计算机等相关专业。    其他...
渗透工程师,面议,广州诚赛信息科技有限公司,广州,...python、PHP）。
测试工程师（海商网络）,面议,广东海印集团股份有限公司,广州,...Python、JavaScript、Java、PHP等语言者优先考虑； 7.熟悉QTP、selenium、appnium等测试框架者优先考虑；
3D技术美术/VR研发,面议,广州市云图动漫设计有限公司,广州 - 天河区,...python / ruby / javascript / C#     如果了解HTML5 和 Rails架构者 更佳       岗位要求  ：  两年以上工作经验  对三维类软件的美术流程有一定的了解  真正热爱技术，对新技术高度敏感，并有把想法落实到行动的学习与执行能力  ...
web 开发工程师,面议,北京东方中原数码科技有限公司,广州,1、二年以上Web开发经验； 2、熟悉 JavaScript/CSS/HTML； 3、熟悉bootstrap，jquery等； 4、熟悉go语言和beego框架，或者有php、python、node.js等脚本语言的开发经验； 5、有视频播放、流媒体类网站研发经优先； 6、主要是后端...
C++开发工程师,20001-30000,香港唯优国际有限公司,广州,岗位职责：  参与YY云存储后端系统设计/开发和维护。  任职要求：  0）良好的计算机技术基础，五年以上后端系统开发经验；  1）熟悉linux，精通C++/Python/Go其中一种编程语言；  2）熟悉TCP/IP，网络编程以及常用网络协议；  4）有大规模分布式系统开发经验者...
软件工程师,4001-6000,广州天赋人财光电科技有限公司,广州 - 天河区,...Python ）有一定的了解程度；    7. 对HTML5技术领域、新兴Web标准和Web发展趋势有良好洞察力和极高的关注度，有强烈的求知欲；    8. 具有android、iphone、ipad等智能手机和平板开发经验优先考虑    9.良好的编程习惯和团队协作精神，工作积...
Linux运维工程师,面议,广州校花信息科技有限责任公司,广州,"...python任一一种编程语言； 5,责任感强、有较强的逻辑思维能力、沟通能力,有较强的项目管理及推动力； 6,有良好的问题分析和解决能力、团队协作精神； 7,有优秀的服务意识，较强抗压能力，勇于面对挑战；"
渗透测试工程师,面议,北京网御星云信息技术有限公司,广州,...python，能够进行恶意代码检测及分析；  5、熟悉Windows和Linux等主流操作系统安全配置，了解内核安全机制，熟练掌握Apache、IIS等WEB服务器和Mysql/Oracle/SQLserver等数据库服务器的安全配置策略；  6、有3年及以上互联网安全从业经验，...
唯优国际猎头职位：Linux后台高级开发工程师/架构师,30001-50000,香港唯优国际有限公司,广州,"...Python、PHP、Unix Shell等其中一种以上语言；  【素质要求】  1.大学本科或以上学历，计算机或相关专业；  2.本科6年或以上工作经验，硕士3年或以上工作经验；  3.责任心强，良好的沟通技巧和团队合作精神；  4.以结果和行动为准则,努力追求成功；  5.学..."
php开发实习生,1000-2000,广州迪奥信息科技有限公司,广州,任职要求：  1.具有强烈的进取心，对web开发拥有浓厚的兴趣，能够积极主动跟进业界的步伐  2.熟悉PHP/Python+MySQL WEB开发，使用过一种开发框架，比如ThinkPHP  3.熟悉Linux操作系统，能够独立部署LAMP、LNMP平台，熟悉常用Linux命令  4...
通信数据服务器开发工程师,面议,广州柏颐信息科技有限公司,广州 - 萝岗区,...python或JAVA语言，java要求能自行熟练搭建项目框架。有OA系统开发经验者优先。 4、精通linux操作系统，能够在linux系统中分析优化性能，有大型分布式系统开发经验者优先。 5、有cms后台开发经验，熟悉 Apache、nginx、tomcat等 Web 服务器的...
高级运维工开发程师,10001-15000,广东安居宝数码科技股份有限公司,广州 - 萝岗区,"...python/java其中一种语言  4.对java,mysql以及nosql等软件,平台的部署,调优有一定了解  5.熟悉ansible/puppet/SaltStack其中一种自动化配置平台  6.具有较强的协调能力,工作积极认真,对新技术有一定的追求  7.熟悉监控系统的设..."
APP测试工程师,面议,广东云游飞天网络科技有限公司,广州,...Python等；  4、熟悉Android或iOS系统使用及设置并且有过SDK测试经验；  5、熟悉app相关性能、电量、内存泄露，会自动化测试优先考虑；
云后台开发工程师,面议,北京猎豹移动科技有限公司,广州,"工作职责： 1、系统设计、需求分析、接口设计及文档编写； 2、项目核心代码开发； 3、对项目员工技能指导和带动团队技术能力提升。  任职资格： 1、精通Python, Golang中的至少一门语言，至少2年以上的使用经验； 2、有较强软件架构设计能力，有较强代码优化能力； 3、熟悉W..."
Web前端设计师,4001-6000,广州市风和日丽企业策划有限公司,广州 - 海珠区,...Python等一种web开发语言  ☆ 怀着创意的及梦想的我们需要你的加入！！     其它福利：  1、按照国家规定购买社保；  2、包午餐；  3、生日礼品、节日礼品、每周水果；  4、文娱活动，不定期员工外出旅游；  5、定期进行部门或公司全员培训。
Ruby开发工程师,面议,广东数库互联网金融信息服务有限公司,广州,...python) ，任意一门都可以  熟悉TDD/BDD，熟悉RSpec，Jasmine等测试框架  有数据库设计或优化经验  熟悉社交网络集成开发  良好的英语读写听说能力  熟悉erlang   github项目贡献    stackoverflow和知乎答题    个人技术博...
服务器网站开发工程师,面议,广东威尔医院有限公司,广州,...python任一种，可进行独立后台应用开发；  4、熟悉多进程/多线程应用开发；  5、熟悉W3C标准，擅长Html5、CSS3、JavaScript、jQuery 、Ajax、XML等Web开发技术；  6、熟悉MySQL/SQL Server或oracle数据库；  7、善于...
运维工程师,8001-10000,广州思埠网络开发有限公司,广州 - 花都区,"...python任一一种编程语言；  5,责任感强、有较强的逻辑思维能力、沟通能力,有较强的项目管理及推动力；  6,有良好的问题分析和解决能力、团队协作精神；  7,有优秀的服务意识，较强抗压能力，勇于面对挑战；"
大数据系统运维工程师,面议,锡林郭勒盟纵横迅达投资有限公司,广州,...Python经验者优先，有大数据处理及相关工具使用经验，熟悉数据库使用，有数据仓库经验者优先。   任职要求：      1、计算机软件及相关专业本科学历及以上；      2、2年以上linux及Windows系统运维运维经验，至少1年Hadoop运维经验，熟悉Sql Serv...
Web前端开发工程师,8001-10000,广州市小蛋壳文化传播有限责任公司,广州 - 天河区,...Python/Node.js  ），并有实践经验；    5  、性格开朗，逻辑性强，有良好的学习能力和沟通能力，热爱编程工作和事业；               备注：此岗位为代广州秀人网络科技有限公司招聘    公司地址： 广州市天河区员村一横路广联纺创意园纺南路自编45号一...
运维工程师,面议,广州维动网络科技有限公司,广州 - 天河区,"...python/perl/php任一种脚本语言编程； 5、熟悉Cacti,Nagios,zabbix等监控软件的使用； 6、了解相关服务器、网络设备的硬件知识； 7、喜欢游戏，希望从事游戏行业运维的优先。"
微信开发,15001-20000,北京世纪好未来教育科技有限公司,广州,...python等脚本语言编。熟悉数据库，对微信项目有较深的理解与应用； 3、熟悉公众号微信支付优先； 4、具备网络应用系统分析与设计经验； 5、对业务有很强的领悟能力，能快速准确的将业务需求转化为业务架构，具备创新精神 ； 6、能够承受工作压力，具有很强的学习能力，具有良好地沟通交...
软件测试（自动化测试经验优先）,面议,深圳市德科信息技术有限公司广州分公司,广州 - 天河区,...python；  5、熟悉linux，并了解linux下的常用操作；  6、对证券业务有一定了解的优先；  7、热爱学习、勤学好问、工作积极向上。
高级数据分析工程师,面议,UC优视（UC浏览器）,广州,...python/ruby；  6.良好的逻辑思维和批判性思维能力；  7.有互联网数据分析背景者优先  注:谢绝虚假简历，公司有严格的流程将对求职者做详尽的背景调查
Linux业务运维工程师-广州分公司,面议,高升控股股份有限公司,广州 - 天河区,...python  4）理解DNS、CDN、HTTP协议工作原理  5）维护过上百台Linux服务器优先
Linux基础运维工程师-广州分公司,面议,高升控股股份有限公司,广州 - 天河区,...python   4）维护过上百台Linux服务器优先
CDN研发工程师-广州分公司,面议,高升控股股份有限公司,广州 - 天河区,岗位职责：   1)负责高升CDN系统平台的设计与研发   2)负责Nginx模块开发   3)解决平台性能瓶颈问题   4)直接参与到系统设计和核心代码开发  任职要求：  1）熟悉 Linux 平台编程和网络编程；  2）熟悉 HTTP 协议；  3）至少有一门高级语言(C/C++/py...
测试开发工程师（社招、校招）,8001-10000,京信通信系统(中国)有限公司,广州,...Python）；     岗位：测试工程师（实习）   招聘2名  岗位职责：  负责基站产品测试执行工作。  任职要求：  1、 本科及以上学历，通信、电子相关专业；  2、 熟悉基本无线通信原理，有一种高级语言编程经验（如：C/C++）;  3、 良好的动手能力，参加过电子竞...
